Word: Axe Lv. 4            ||             Index 277 at address 730C5F7930 Value: 0
Word: Pickaxe Lv. 10            ||             Index 278 at address 730C5F79E0 Value: 0
Word: Sickle Lv. 3            ||             Index 279 at address 730C5F7A90 Value: 0
Word: Pickaxe Lv. 4            ||             Index 280 at address 730C5F7B40 Value: 0
Word: Pickaxe Lv. 10            ||             Index 281 at address 730C5F7BF0 Value: 0
Word: Pickaxe Lv. 8            ||             Index 282 at address 730C5F7D50 Value: 0
Word: Sickle Lv. 5            ||             Index 283 at address 730C5F7E00 Value: 0
Word: Axe Lv. 7            ||             Index 284 at address 730C5F7EB0 Value: 0
Word: Sickle Lv. 9            ||             Index 285 at address 730C5F7F60 Value: 0
Word: Axe Lv. 10            ||             Index 286 at address 730C5F8010 Value: 0
Word: Sickle Lv. 1            ||             Index 287 at address 730C5F80C0 Value: 0
Word: Observation Deck Blueprint            ||             Index 288 at address 730C5F8170 Value: 0
Word: Pickaxe Lv. 5            ||             Index 289 at address 730C5F8220 Value: 0
Word: Sickle Lv. 2            ||             Index 290 at address 730C5F82D0 Value: 0
Word: Axe Lv. 3            ||             Index 291 at address 730C5F8380 Value: 0
Word: Sickle Lv. 10            ||             Index 292 at address 730C5F8430 Value: 0
Word: Axe Lv. 7            ||             Index 293 at address 730C5F84E0 Value: 0
Word: Axe Lv. 3            ||             Index 294 at address 730C5F8590 Value: 0
Word: Axe Lv. 9            ||             Index 295 at address 730C5F8640 Value: 0
Word: Water Type Attack+ (S)            ||             Index 296 at address 730C5F86F0 Value: 0
Word: Axe Lv. 7            ||             Index 297 at address 730C5F87A0 Value: 0
Word: Sickle Lv. 6            ||             Index 298 at address 730C5F8900 Value: 0
Word: Sickle Lv. 8            ||             Index 299 at address 730C5F8A60 Value: 0
Word: Pickaxe Lv. 6            ||             Index 300 at address 730C5F8B10 Value: 0
Word: Sickle Lv. 7            ||             Index 301 at address 730C5F8BC0 Value: 0
Word: Sickle Lv. 8            ||             Index 302 at address 730C5F8C70 Value: 0
Word: Sickle Lv. 9            ||             Index 303 at address 730C5F8D20 Value: 0
Word: Axe Lv. 10            ||             Index 304 at address 730C5F8DD0 Value: 0
Word: Axe Lv. 2            ||             Index 305 at address 730C5F8E80 Value: 0
Word: Crafting Recipe            ||             Index 306 at address 730C5F8F30 Value: 0
Word: Axe Lv. 10            ||             Index 307 at address 730C5F8FE0 Value: 0
Word: Sickle Lv. 10            ||             Index 308 at address 730C5F9090 Value: 0
Word: Pickaxe Lv. 6            ||             Index 309 at address 730C5F9140 Value: 0
Word: Sickle Lv. 4            ||             Index 310 at address 730C5F91F0 Value: 0
Word: Pickaxe Lv. 6            ||             Index 311 at address 730C5F92A0 Value: 0
Word: Sickle Lv. 5            ||             Index 312 at address 730C5F9350 Value: 0
Word: Lantern            ||             Index 313 at address 730C5F9400 Value: 0
Word: Pickaxe Lv. 2            ||             Index 314 at address 730C5F94B0 Value: 0
Word: Pickaxe Lv. 7            ||             Index 315 at address 730C5F9560 Value: 0
Word: Pickaxe Lv. 9            ||             Index 316 at address 730C5F9610 Value: 0
Word: Pickaxe Lv. 1            ||             Index 317 at address 730C5F96C0 Value: 0
Word: Pickaxe Lv. 8            ||             Index 318 at address 730C5F9770 Value: 0
Word: Bad Security Blueprint            ||             Index 319 at address 730C5F9820 Value: 0
Word: Crafting Recipe            ||             Index 320 at address 730C5F98D0 Value: 0
Word: Sickle Lv. 4            ||             Index 321 at address 730C5F9980 Value: 0
Word: Pickaxe Lv. 9            ||             Index 322 at address 730C5F9A30 Value: 0
Word: Sickle Lv. 6            ||             Index 323 at address 730C5F9AE0 Value: 0
Word: Pickaxe Lv. 10            ||             Index 324 at address 730C5F9B90 Value: 0
Word: Crafting Recipe            ||             Index 325 at address 730C5F9C40 Value: 0
Word: Axe Lv. 2            ||             Index 326 at address 730C5F9CF0 Value: 0
Word: Axe Lv. 6            ||             Index 327 at address 730C5F9DA0 Value: 0
Word: Security Pass C            ||             Index 328 at address 730C5F9E50 Value: 0
Word: Axe Lv. 8            ||             Index 329 at address 730C5F9F00 Value: 0
Word: Pickaxe Lv. 6            ||             Index 330 at address 730C5F9FB0 Value: 0
Word: Captain's Quarters Blueprint            ||             Index 331 at address 730C5FA060 Value: 0
Word: Axe Lv. 6            ||             Index 332 at address 730C5FA110 Value: 0
Word: Pickaxe Lv. 9            ||             Index 333 at address 730C5FA1C0 Value: 0
Word: Sickle Lv. 1            ||             Index 334 at address 730C5FA270 Value: 0
Word: Axe Lv. 4            ||             Index 335 at address 730C5FA320 Value: 0
Word: Pickaxe Lv. 1            ||             Index 336 at address 730C5FA3D0 Value: 0
Word: Pickaxe Lv. 10            ||             Index 337 at address 730C5FA480 Value: 0
Word: Pickaxe Lv. 10            ||             Index 338 at address 730C5FA5E0 Value: 0
Word: Mistaken Elevator Blueprint            ||             Index 339 at address 730C5FA690 Value: 0
Word: Pickaxe Lv. 4            ||             Index 340 at address 730C5FA740 Value: 0
Word: Pickaxe Lv. 10            ||             Index 341 at address 730C5FA7F0 Value: 0
Word: Pickaxe Lv. 9            ||             Index 342 at address 730C5FA8A0 Value: 0
Word: Pickaxe Lv. 9            ||             Index 343 at address 730C5FA950 Value: 0
Word: Pickaxe Lv. 8            ||             Index 344 at address 730C5FAA00 Value: 0
Word: Sickle Lv. 1            ||             Index 345 at address 730C5FAB60 Value: 0
Word: Pickaxe Lv. 9            ||             Index 346 at address 730C5FAC10 Value: 0
Word: Sickle Lv. 5            ||             Index 347 at address 730C5FACC0 Value: 0
Word: Pickaxe Lv. 10            ||             Index 348 at address 730C5FAD70 Value: 0
Word: Pickaxe Lv. 8            ||             Index 349 at address 730C5FAE20 Value: 0
Word: Pickaxe Lv. 8            ||             Index 350 at address 730C5FAED0 Value: 0
Word: Axe Lv. 8            ||             Index 351 at address 730C5FAF80 Value: 0
Word: Pickaxe Lv. 8            ||             Index 352 at address 730C5FB030 Value: 0
Word: Pickaxe Lv. 8            ||             Index 353 at address 730C5FB0E0 Value: 0
Word: Pickaxe Lv. 9            ||             Index 354 at address 730C5FB190 Value: 0
Word: Remulia Notes            ||             Index 355 at address 730C5FB240 Value: 0
Word: Axe Lv. 5            ||             Index 356 at address 730C5FB2F0 Value: 0
Word: Pickaxe Lv. 1            ||             Index 357 at address 730C5FB3A0 Value: 0
